"Fecha";"Prec.5";"ET0.5";"Consumo.5";"Prec.4";"ET0.4";"Consumo.4";"Prec.3";"ET0.3";"Consumo.3";"Prec.2";"ET0.2";"Consumo.2";"Prec.1";"ET0.1";"Consumo.1";"NDVI.NA.Mean.5";"NDVI.NA.Mean"
2019-07-10;0;7.15988250286798;2.49616996188358;0;7.29775567970553;2.51307351857778;0;8.61134475763215;2.49582149688003;0.2;5.61874744793759;2.52152102234125;0;8.94099139234402;2.45850849642667;0.285572310288747;0.291949262221654
2019-07-15;0;7.4021215786806;12.5386331967757;0;7.87013411669724;39.4094103467109;0;8.82542389339201;1.7974339147251;0;7.75632501483257;10.1243848736499;0;9.57804882781926;0.0242697869136137;0.291949262221654;0.333249489466349
2019-07-20;0;9.43769822932978;0.0591087880764821;0;7.16023985699905;0.0360698854401945;0;7.33878241523569;0.037816099655408;0;7.61987810271476;0.00246286616985342;0;8.14092417423072;0.00246286616985342;0.333249489466349;0.254749789834023
2019-07-25;0;8.53411180234624;0.0706733130031208;0;9.41729003995303;0.0968877868632235;0;8.74394391056794;11.6615851139396;0;9.13299488374904;0;0;8.35236964412008;0;0.254749789834023;0.322697028517723
2019-07-30;0;7.95803238426104;0;0;7.5734662173855;0;0;8.75175821101042;0;0;7.7312099797554;0;0;7.0663129666846;0;0.322697028517723;0.248069951931636
2019-08-04;0;7.25128109419281;9.06827323740029;0;5.93611343944408;0.004641205659163;0;6.24670077750798;0.0101359913599575;0;6.37191215562536;0.00246286616985342;0;6.41356447647013;0;0.248069951931636;0.282510787248611
2019-08-09;0;6.95465455857613;0;0;6.72657233596474;33.6796948727455;0;7.93263425216305;0;0;7.64435014575565;0;0;7.69811342288868;0;0.282510787248611;0.260821071763833
2019-08-14;0;8.92065562014296;0;0;8.27487982048104;21.540227521538;0.6;6.61564094321534;0;0;8.28828285097291;9.72093277241144;0.2;5.46600845618703;0;0.260821071763833;0.313453391194344
2019-08-19;0;6.2465468073195;0;0;6.73050803384041;0;0;6.51834112892947;0;0;7.16793311004475;0;0;7.19719352874947;0;0.313453391194344;0.274704148372014
2019-08-24;0;6.68787808072651;0;0;5.58722824002647;0;17.4;5.18720241339938;0;0.2;5.51447094158443;0;0;5.77262050589209;0;0.274704148372014;0.380596707264582
2019-08-29;0;5.43243865645317;0;0;5.52168101974624;0;4;4.67576279104606;0;6;4.10922077526336;0;0;5.39555544764306;0;0.380596707264582;0.267469684282939
2019-09-03;0.2;4.39986243952731;0;0;5.26370150682542;0;0;4.90355281166228;0;0;5.67050063991249;0;0;3.76886625255155;0;0.267469684282939;0.245890508095423
2019-09-08;0.2;5.04422962623839;0;0;4.9938123901076;0;0;4.30400971772494;0;0;4.49077573185955;0;0;5.02091965632777;0;0.245890508095423;0.0611284263432026
2019-09-13;0;4.69489748502621;0;0;4.50015009335227;6.63987197871606;0;5.81333178067099;24.3823902967576;4.2;3.26860382728216;0;136.8;1.29319174233929;0;0.0611284263432026;0.311401794354121
2019-09-18;111.411491020214;2.49778974209326;0;5.90900168199891;1.43230841264974;0;0.379925013891721;3.47348954633814;0;0.379925013891721;3.84838382193312;0;0.379925013891721;2.73634893213287;0;0.311401794354121;0.30366887152195
2019-10-03;0.379925013891721;3.93907942535877;0;0.379925013891721;3.89381754446682;0;0.379925013891721;4.06094437056878;0;0.379925013891721;4.75979759817545;0;0.379925013891721;4.38022030402848;0;0.313313980897268;0.387029051780701
2019-10-08;0.379925013891721;4.12719850534955;0;0.18996250694586;3.93586076143284;0;0;4.08479663469673;0;0;3.93887788829936;0;0;4.76622536007819;0;0.387029051780701;0.0141241224482656
2019-10-13;0;2.77962187319665;28.0761680556875;0;3.06256381659995;4.58143735656888;0;2.87539698028191;0;0;2.89806707877851;0;0;2.50470662050505;0;0.0141241224482656;0.382682373126348
2019-10-18;0;3.18506607501655;0;0;2.46045348663986;0;0;2.98178656569785;0;0;2.955747677308;0;0;3.52757595567237;0;0.382682373126348;0.243016640345256
2019-10-23;0;3.0250774475688;0;0;3.22537201468447;0;1;1.25839510538481;0;0.2;1.77354749273095;0;19.1;0.737501487427467;0;0.243016640345256;0.384840587774913
2019-10-28;0.2;1.71779258833051;0;0;2.85442586550528;0;0;2.96146377787541;0;0;2.28950636896249;0;0;1.75844600310024;0;0.384840587774913;0.184681817889214
2019-11-02;0.2;1.51075319667024;0;0.2;3.36184400196817;0;0;2.9485028294244;0;0;3.11550752462413;0;0;3.11711235209713;0;0.184681817889214;0.245872125029564
2019-11-07;0;3.57659307885663;0;0;4.11452611770186;0;0;2.86588759917695;0.000880970724716824;0;2.89310782598214;0.0089222682686639;0;2.76052808020512;0.0089222682686639;0.245872125029564;0.363111893335978
2019-11-12;0;2.0442726840414;0.000977422096782714;0;2.81723779491474;0;0.2;2.75305112230712;0;0;3.04231806665231;0;0;2.62506947568192;0;0.363111893335978;0.406764954328537
2019-11-17;0;2.47691805085247;0;0;2.17062376871256;0;1;1.73658788880746;0;0;1.97248103113054;0;0;2.34056032342721;0;0.406764954328537;0.211457923054695
2019-11-22;0.4;2.03400167008406;0;1.2;1.75450250934523;0;0;1.57374855410208;0;0.2;1.37058283481785;19.4812714035405;0.4;1.04217580394092;0;0.211457923054695;0.0258047829071681
2019-11-27;8;0.880499683211331;0;0;2.73508435143736;0;0;2.11054458100761;0;0;1.72778383333775;0;0;1.46465692588873;0;0.0258047829071681;0.365758016705513
2019-12-02;0;1.73693919193742;0;0;1.92457631151585;0;0;2.1493478861562;0;0;1.6470636088976;0;0.2;2.07697721259406;0;0.365758016705513;0.0245990759382645
2019-12-07;21.8;1.29213445856983;0;14;1.38576662096948;0;9.4;0.765237951350604;0;0;0.967576081548725;0;0;0.970722332881674;0;0.0245990759382645;0.182421738902728
2019-12-12;0.2;1.18156952463392;0;0;2.274454448987;0;0;2.77217526820239;0;0;2.20914332421412;0;0;2.89946173417196;0;0.182421738902728;0.330619434515635
2019-12-17;0;1.88259105618044;0;0;2.00011582294161;0;0;1.85406685788671;0;0;1.21380142426009;0;0;0.682550324655041;0;0.330619434515635;0.249427820245425
